COD_VARIAN,DESC_LINEA
242,100
237,100
3666,102
3667,102
340,103
343,103
366,104
370,104
372,105
395,105
4074,106
4073,106
461,109
469,109
522,110
498,110
8079,111
8394,111
593,112
591,112
602,113
595,113
4413,115
4412,115
628,116
630,116
634,117
635,117
7883,121
7884,121
650,124
647,124
8784,124 SD
8785,124 SD
8649,127
3973,127
8653,128
8805,130
8804,130
4614,135
819,137
815,137
7886,140
8050,140
7898,142
3700,142
4615,143
4618,143
883,144
888,144
8403,145
8404,145
4030,147
4031,147
4272,149
4619,150
4620,150
4492,151
4490,151
3672,155
3673,155
3987,156
3986,156
4570,157
4569,157
3925,158
3926,158
3267,163
4309,163
3783,17
3784,17
8708,174
8707,174
4639,175
4640,175
1766,180
1767,180
7602,181
7603,181
3238,182
8388,182
8401,183
8389,183
3795,185
3794,185
4318,186
3311,186
4832,188
4642,191
4641,191
8682,192
8681,192
1434,195
1448,199
1453,199
7589,2
7590,2
4418,21
1802,21
8398,300
8385,300
3791,306
3792,306
1763,316
1762,316
8550,328
8549,328
4481,330
4480,330
4701,396
4702,396
8,402
8100,402
24,405
37,405
52,407
49,407
58,409
55,409
8495,427
8496,427
4415,494
4414,494
4513,495
4512,495
4005,505
183,522
2426,522
8772,524
8771,524
3370,526
3369,526
8199,538
8200,538
218,546
217,546
8603,582
8604,582
1483,60
1476,60
4531,64
4530,64
8397,71
8387,71
8120,79
8121,79
8315,CE1
8316,CE1
4916,CE2
4917,CE2
4542,D10
4543,D10
3923,D11
3924,D11
3937,D5
3936,D5
7736,D8
2643,D8
4546,D9
4545,D9
8313,DE1
8317,DE1
8312,E14
8314,E14
8802,G
8803,G
3347,G10
3386,G10
3350,G11
3349,G11
8266,G3
8267,G3
7366,G6
7365,G6
8268,G8
8269,G8
1554,L1
1551,L1
4893,L12
4894,L12
1758,L13
1759,L13
170,L14
168,L14
2074,L15
2073,L15
3951,L16
3952,L16
2080,L19
2079,L19
8047,L2
8046,L2
8706,L20
8705,L20
1567,L22
1569,L22
2082,L23
2081,L23
3351,L24
3352,L24
8589,L25
8590,L25
8004,L28
8003,L28
8587,L3
8588,L3
3259,L30
3258,L30
8779,L31
8777,L31
8768,L32
8767,L32
8769,L33
8770,L33
1577,L35
1575,L35
1820,L36
1819,L36
8765,L38
8766,L38
8775,L39
8776,L39
4560,L40
4561,L40
8780,L41
8781,L41
1818,L46
1807,L46
1581,L5
1582,L5
8593,L6
8594,L6
8787,L7
8788,L7
1966,L9
1958,L9
